ID,BUILDING,FLOOR,LOC_X,LOC_Y,MAG_X,MAG_Y,MAG_Z,G
1,IBSS,5,0,0,0,25.828617,-28.685183,9.806577
2,IBSS,5,1,0,0,30.582264,-26.536137,9.80663
3,IBSS,5,2,0,-0.000001,27.197075,-23.733107,9.806599
4,IBSS,5,3,0,-0.000001,29.218052,-22.29553,9.806585
5,IBSS,5,4,0,0,24.842531,-22.799934,9.806636
6,IBSS,5,5,0,0,28.575375,-20.265488,9.806549
7,IBSS,5,6,0,-0.000001,31.676973,-25.566601,9.806592
8,IBSS,5,7,0,0,33.136116,-28.817413,9.80656
9,IBSS,5,8,0,-0.000001,31.638348,-29.528578,9.806632
10,IBSS,5,9,0,0,31.452923,-30.999039,9.806559
11,IBSS,5,10,0,0,29.899551,-31.762743,9.806552
12,IBSS,5,11,0,0,28.95252,-31.688454,9.806611
13,IBSS,5,12,0,0,26.558552,-27.970877,9.806623
14,IBSS,5,13,0,0,27.55983,-29.392389,9.806615
15,IBSS,5,14,0,0,25.084644,-29.663261,9.806615
16,IBSS,5,15,0,0,25.486389,-28.333096,9.806556
17,IBSS,5,16,0,-0.000001,31.683157,-31.746216,9.80659
18,IBSS,5,17,0,0,31.728256,-30.79236,9.806594
19,IBSS,5,18,0,0,35.823601,-27.998213,9.806606
20,IBSS,5,19,0,0,35.67548,-29.499517,9.806569
21,IBSS,5,20,0,-0.000001,36.218399,-22.355122,9.806568
22,IBSS,5,21,0,0,39.094856,-25.108644,9.80658
23,IBSS,5,22,0,0,38.263607,-26.381336,9.8066
24,IBSS,5,23,0,-0.000001,37.187706,-27.055353,9.806592
25,IBSS,5,24,0,0,36.71767,-25.518764,9.80657
26,IBSS,5,25,0,-0.000001,34.839104,-27.27017,9.806557
27,IBSS,5,26,0,0,34.571606,-26.850851,9.806615
28,IBSS,5,27,0,-0.000001,32.630138,-26.246071,9.806582
29,IBSS,5,28,0,-0.000002,33.839809,-25.784641,9.80664
30,IBSS,5,29,0,0,31.771179,-26.737705,9.806648
31,IBSS,5,30,0,0,32.206108,-25.159044,9.806604
32,IBSS,5,31,0,0.000001,32.310421,-24.285849,9.806559
33,IBSS,5,32,0,0,36.969707,-24.038925,9.806554
34,IBSS,5,33,0,0,33.420116,-25.87368,9.806596
35,IBSS,5,34,0,0,32.244804,-28.220028,9.806571
36,IBSS,5,35,0,0,30.698557,-26.096748,9.806606
37,IBSS,5,36,0,0,32.875427,-23.19001,9.806642
38,IBSS,5,37,0,0,34.692665,-22.369003,9.806588
39,IBSS,5,38,0,0,35.927513,-22.549582,9.806617
40,IBSS,5,39,0,0,38.410297,-22.916216,9.806623
41,IBSS,5,40,0,0,37.038502,-24.665281,9.806629
42,IBSS,5,41,0,-0.000001,33.872208,-26.751341,9.806584
43,IBSS,5,42,0,0,30.050575,-28.265034,9.806602
44,IBSS,5,43,0,0,33.001839,-26.402973,9.806586
45,IBSS,5,44,0,0,36.323528,-28.839464,9.806624
46,IBSS,5,45,0,0,34.536999,-33.057247,9.806595
47,IBSS,5,46,0,-0.000001,34.160286,-35.75613,9.806611
48,IBSS,5,47,0,0,33.802811,-38.788776,9.806645
49,IBSS,5,48,0,0,27.571014,-40.213486,9.806563
50,IBSS,5,49,0,0,24.459059,-38.277321,9.806571
51,IBSS,5,50,0,0,23.622116,-36.042934,9.806639
52,IBSS,5,0,1,0,24.219872,-33.254749,9.806585
53,IBSS,5,1,1,0,25.49568,-31.596292,9.806618
54,IBSS,5,2,1,0,23.190363,-31.898642,9.806566
55,IBSS,5,3,1,0,23.465971,-28.313753,9.806579
56,IBSS,5,4,1,0,22.755148,-25.359833,9.80658
57,IBSS,5,5,1,0,26.025284,-24.927414,9.806605
58,IBSS,5,6,1,0,28.18396,-27.579651,9.806574
59,IBSS,5,7,1,0,29.251375,-31.603951,9.806637
60,IBSS,5,8,1,0,27.973112,-33.972206,9.806577
61,IBSS,5,9,1,0,25.346596,-36.435242,9.806593
62,IBSS,5,10,1,0,24.629995,-32.368607,9.806579
63,IBSS,5,11,1,0,25.928249,-32.062183,9.806613
64,IBSS,5,12,1,0,25.91433,-32.408798,9.80662
65,IBSS,5,13,1,-0.000001,26.669516,-33.754032,9.80657
66,IBSS,5,14,1,0,21.96121,-33.084553,9.806577
67,IBSS,5,15,1,0,22.055813,-28.644407,9.80656
68,IBSS,5,16,1,0,26.458237,-25.100903,9.806621
69,IBSS,5,17,1,0,29.711199,-23.405029,9.806573
70,IBSS,5,18,1,0,35.669697,-25.46521,9.80654
71,IBSS,5,19,1,0,33.909924,-27.932323,9.806578
72,IBSS,5,20,1,0,38.95153,-26.593607,9.806551
73,IBSS,5,21,1,0,41.135727,-29.989914,9.806572
74,IBSS,5,22,1,0,38.38208,-31.606148,9.806586
75,IBSS,5,23,1,0,37.789852,-28.761507,9.806564
76,IBSS,5,24,1,0,37.577217,-26.96945,9.806584
77,IBSS,5,25,1,0,36.674866,-28.11204,9.806545
78,IBSS,5,26,1,0,33.038189,-28.03014,9.806615
79,IBSS,5,27,1,0,30.82107,-26.958649,9.806626
80,IBSS,5,28,1,0,30.758976,-28.318819,9.806619
81,IBSS,5,29,1,0,27.606689,-27.935888,9.806596
82,IBSS,5,30,1,0,27.054947,-26.425133,9.806619
83,IBSS,5,31,1,0,30.461872,-25.643442,9.806624
84,IBSS,5,32,1,0,33.113953,-22.913507,9.806545
85,IBSS,5,33,1,0,36.215679,-26.813791,9.806561
86,IBSS,5,34,1,0,32.735397,-28.47044,9.806547
87,IBSS,5,35,1,0,30.658306,-25.278954,9.806565
88,IBSS,5,36,1,0,30.361195,-23.327049,9.806558
89,IBSS,5,37,1,0,32.216824,-19.584114,9.806559
90,IBSS,5,38,1,0,37.648544,-20.705929,9.806637
91,IBSS,5,39,1,0,35.59166,-27.469713,9.806552
92,IBSS,5,40,1,0,32.789165,-27.479315,9.806552
93,IBSS,5,41,1,0,31.504547,-24.428038,9.806635
94,IBSS,5,42,1,0,32.353569,-24.795824,9.806564
95,IBSS,5,43,1,0,31.342882,-26.878466,9.806583
96,IBSS,5,44,1,0,34.570107,-28.588562,9.80659
97,IBSS,5,45,1,0,33.332191,-31.822758,9.806585
98,IBSS,5,46,1,0,30.584991,-31.31674,9.806592
99,IBSS,5,47,1,0,34.089863,-34.473644,9.806548
100,IBSS,5,48,1,0,30.80946,-37.591557,9.806595
101,IBSS,5,49,1,0,27.863359,-38.757465,9.806606
102,IBSS,5,50,1,0.000004,32.200165,-32.015266,9.806541
103,IBSS,5,0,2,0,36.093811,-45.334072,9.806613
104,IBSS,5,1,2,0.000001,24.221413,-42.883369,9.806559
105,IBSS,5,2,2,0,21.45437,-34.285095,9.806555
106,IBSS,5,3,2,0,21.896179,-29.075043,9.806581
107,IBSS,5,4,2,0,24.784189,-30.93166,9.806555
108,IBSS,5,5,2,0,31.708841,-15.615825,9.806598
109,IBSS,5,6,2,0.000001,44.414948,-20.499434,9.80662
110,IBSS,5,7,2,0,23.078764,-34.393169,9.806608
111,IBSS,5,8,2,0,40.644558,-37.516411,9.806552
112,IBSS,5,9,2,0.000001,30.563299,-51.690353,9.806615
113,IBSS,5,10,2,0,29.468605,-36.899937,9.806579
114,IBSS,5,11,2,0,30.328215,-36.149647,9.806556
115,IBSS,5,12,2,0,27.652187,-37.584911,9.806628
116,IBSS,5,13,2,0,21.055853,-32.332001,9.806637
117,IBSS,5,14,2,0,14.309853,-44.906956,9.806549
118,IBSS,5,15,2,0,21.593742,-28.637472,9.806605
119,IBSS,5,16,2,0,22.539684,-24.843609,9.806641
120,IBSS,5,17,2,0,27.357645,-16.091673,9.806646
121,IBSS,5,18,2,0,44.798698,-28.673662,9.806584
122,IBSS,5,19,2,0,26.057043,-32.876534,9.806551
123,IBSS,5,20,2,0,40.437012,-35.732838,9.80662
124,IBSS,5,21,2,0,49.279373,-36.960716,9.806547
125,IBSS,5,22,2,0,38.877151,-49.28334,9.806623
126,IBSS,5,23,2,0,32.694195,-46.591507,9.806539
127,IBSS,5,24,2,0,35.524475,-30.276133,9.806586
128,IBSS,5,25,2,0,33.656586,-25.280689,9.806551
129,IBSS,5,26,2,0,37.001846,-35.454144,9.8066
130,IBSS,5,27,2,0,33.362408,-38.02113,9.806588
131,IBSS,5,28,2,0,27.253853,-34.528534,9.806564
132,IBSS,5,29,2,0.000001,20.862305,-33.338966,9.80658
133,IBSS,5,30,2,0,24.023876,-20.943327,9.806627
134,IBSS,5,31,2,0,26.036201,-12.963249,9.806644
135,IBSS,5,32,2,0,36.423721,-13.96549,9.806593
136,IBSS,5,33,2,0,39.757011,-28.670286,9.806605
137,IBSS,5,34,2,0,27.841061,-22.23201,9.806582
138,IBSS,5,35,2,0,22.204405,-15.759282,9.806554
139,IBSS,5,37,2,0,31.629944,-19.395348,9.806598
140,IBSS,5,38,2,0,51.820202,-29.100342,9.806562
141,IBSS,5,39,2,0,45.059082,-22.699453,9.806613
142,IBSS,5,40,2,-0.000001,39.433876,-34.956566,9.806596
143,IBSS,5,41,2,0,25.67938,-31.916502,9.806558
144,IBSS,5,42,2,0,19.887413,-19.283823,9.806641
145,IBSS,5,43,2,-0.000002,33.972126,-23.827993,9.806629
146,IBSS,5,44,2,0.000002,31.104137,-25.629374,9.806628
147,IBSS,5,45,2,0,35.190037,-28.268192,9.806633
148,IBSS,5,46,2,0,34.517727,-33.02507,9.806598
149,IBSS,5,46,2,0,34.791405,-33.302113,9.806605
150,IBSS,5,47,2,0,34.785294,-34.456818,9.806572
151,IBSS,5,48,2,0.000001,32.613281,-38.761326,9.806603
152,IBSS,5,49,2,0,32.335823,-43.435795,9.806584
153,IBSS,5,50,2,0,29.96273,-45.01918,9.806552
154,IBSS,5,0,3,0,31.904808,-33.05933,9.806606
155,IBSS,5,1,3,0,24.066446,-36.795166,9.806648
156,IBSS,5,2,3,0,25.049231,-32.690861,9.806633
157,IBSS,5,3,3,0,24.653143,-31.022421,9.806575
158,IBSS,5,4,3,0,24.421808,-28.19389,9.80662
159,IBSS,5,5,3,0,25.887384,-28.085382,9.806577
160,IBSS,5,6,3,0,25.284134,-28.608582,9.806548
161,IBSS,5,7,3,0,26.394014,-29.769306,9.806579
162,IBSS,5,8,3,0,27.938993,-32.493908,9.806576
163,IBSS,5,9,3,0,27.085972,-35.133038,9.806569
164,IBSS,5,10,3,0,26.493473,-36.536503,9.806546
165,IBSS,5,11,3,0,27.057077,-36.069824,9.806583
166,IBSS,5,12,3,0,27.015984,-36.099197,9.80663
167,IBSS,5,13,3,0,27.249435,-35.023701,9.806612
168,IBSS,5,14,3,0,25.763414,-34.29377,9.806629
169,IBSS,5,15,3,0,26.699104,-31.97823,9.806601
170,IBSS,5,16,3,0,28.607677,-30.251278,9.806581
171,IBSS,5,17,3,0,30.742672,-28.311634,9.806567
172,IBSS,5,18,3,0,33.580662,-27.268398,9.806553
173,IBSS,5,19,3,0,35.319447,-27.666143,9.806635
174,IBSS,5,20,3,0,37.766254,-27.244968,9.806612
175,IBSS,5,21,3,0,39.659233,-27.120842,9.806556
176,IBSS,5,22,3,0,42.076134,-28.548441,9.80655
177,IBSS,5,23,3,0,42.018147,-28.81567,9.80661
178,IBSS,5,24,3,0,42.013622,-28.52055,9.806605
179,IBSS,5,25,3,0,37.385426,-27.993954,9.806563
180,IBSS,5,26,3,0,35.024067,-25.650784,9.806603
181,IBSS,5,27,3,0,32.36525,-24.415634,9.806584
182,IBSS,5,28,3,0,30.219036,-23.133812,9.806556
183,IBSS,5,29,3,0,28.835968,-23.754002,9.806588
184,IBSS,5,30,3,0,28.003725,-24.296719,9.80662
185,IBSS,5,31,3,0,27.611462,-25.164728,9.806598
186,IBSS,5,32,3,0,29.181273,-24.584763,9.806597
187,IBSS,5,33,3,0,30.423553,-26.616211,9.806598
188,IBSS,5,34,3,0,30.251543,-28.117645,9.806573
189,IBSS,5,35,3,0,30.014509,-27.423403,9.806581
190,IBSS,5,36,3,0,30.640913,-27.560196,9.806566
191,IBSS,5,37,3,0,30.605251,-28.70265,9.806614
192,IBSS,5,38,3,-0.000001,30.862032,-29.026323,9.806606
193,IBSS,5,39,3,0,29.973267,-30.842625,9.806605
194,IBSS,5,40,3,0,30.267513,-31.136717,9.806556
195,IBSS,5,41,3,0,29.594898,-31.625635,9.806555
196,IBSS,5,42,3,0,29.040911,-31.695028,9.806588
197,IBSS,5,43,3,0,30.743193,-32.82275,9.806619
198,IBSS,5,44,3,0,29.662428,-34.19212,9.806595
199,IBSS,5,45,3,-0.000001,31.046389,-33.40221,9.806575
200,IBSS,5,46,3,0,32.435867,-34.86504,9.80662
201,IBSS,5,47,3,0.000001,32.222782,-37.185303,9.806627
202,IBSS,5,48,3,0.000001,32.151176,-37.807198,9.806553
203,IBSS,5,49,3,-0.000001,30.781631,-39.268097,9.806603
204,IBSS,5,50,3,0.000001,28.596581,-40.107925,9.806582
205,IBSS,5,0,4,0,28.900915,-36.119308,9.806587
206,IBSS,5,1,4,0,27.556376,-37.071217,9.806594
207,IBSS,5,2,4,0,25.674959,-36.148556,9.806561
208,IBSS,5,3,4,0,23.979265,-33.649952,9.806577
209,IBSS,5,4,4,0,23.401405,-32.655266,9.806594
210,IBSS,5,5,4,0,24.482492,-30.852444,9.806562
211,IBSS,5,6,4,0,24.411781,-31.909945,9.806606
212,IBSS,5,7,4,0,25.332956,-32.288181,9.806602
213,IBSS,5,8,4,0,26.891569,-34.847038,9.806539
214,IBSS,5,9,4,0,28.335794,-38.933346,9.80656
215,IBSS,5,10,4,0,26.368034,-39.89151,9.806598
216,IBSS,5,11,4,0.000001,26.995958,-38.999344,9.806591
217,IBSS,5,12,4,0,27.023567,-38.606293,9.806588
218,IBSS,5,13,4,0,26.526327,-35.439075,9.806553
219,IBSS,5,14,4,0,25.749678,-33.392799,9.806551
220,IBSS,5,15,4,0,27.097414,-31.399448,9.806622
221,IBSS,5,16,4,0,27.708111,-30.654879,9.806633
222,IBSS,5,17,4,0,28.574903,-28.249418,9.806602
223,IBSS,5,18,4,0,30.260387,-25.138988,9.80662
224,IBSS,5,19,4,0,32.743084,-24.178049,9.806573
225,IBSS,5,20,4,0,35.875748,-24.069908,9.806562
226,IBSS,5,21,4,0,37.618675,-25.534748,9.80656
227,IBSS,5,22,4,0,39.149517,-26.050863,9.80663
228,IBSS,5,23,4,0,40.540821,-26.97794,9.806625
229,IBSS,5,24,4,0,40.606178,-29.013025,9.806547
230,IBSS,5,25,4,0,37.04731,-27.885521,9.806625
231,IBSS,5,26,4,0,34.210548,-25.337452,9.806557
232,IBSS,5,27,4,0,31.468489,-22.068514,9.806627
233,IBSS,5,28,4,0,29.570784,-22.000584,9.806564
234,IBSS,5,29,4,0,29.104134,-22.453434,9.806602
235,IBSS,5,30,4,0,29.683332,-24.303452,9.806644
236,IBSS,5,31,4,0,28.578667,-25.802475,9.806552
237,IBSS,5,32,4,0,28.665779,-25.456676,9.806615
238,IBSS,5,33,4,0,30.789782,-26.053228,9.806579
239,IBSS,5,34,4,0,29.363733,-29.473934,9.806631
240,IBSS,5,35,4,0,29.781424,-29.965219,9.806567
241,IBSS,5,36,4,0.000001,31.007147,-40.755825,9.806564
242,IBSS,5,37,4,0.000001,31.015291,-40.394695,9.806603
243,IBSS,5,38,4,0,30.585575,-42.289074,9.806567
244,IBSS,5,39,4,0.000001,27.123447,-42.861858,9.806604
245,IBSS,5,40,4,0,25.296589,-41.710457,9.806565
246,IBSS,5,41,4,0,24.232098,-41.66473,9.806623
247,IBSS,5,42,4,0,25.69891,-42.926262,9.806637
248,IBSS,5,43,4,0,24.499352,-43.064728,9.806588
249,IBSS,5,44,4,0,28.12002,-37.641853,9.80663
250,IBSS,5,45,4,0,29.823648,-37.744453,9.806559
251,IBSS,5,46,4,0.000001,31.516251,-38.840458,9.806616
252,IBSS,5,47,4,0,32.6912,-40.524792,9.806583
253,IBSS,5,48,4,-0.000001,32.897938,-42.392223,9.806632
254,IBSS,5,49,4,0,30.614843,-43.587029,9.80664
255,IBSS,5,50,4,-0.000001,29.089251,-41.13781,9.806608
256,IBSS,5,0,5,0,31.609804,-31.907207,9.806589
257,IBSS,5,1,5,0,30.738632,-33.725914,9.806636
258,IBSS,5,2,5,0,28.772911,-32.034195,9.806561
259,IBSS,5,3,5,0,26.104927,-31.488243,9.806617
260,IBSS,5,4,5,0,25.761154,-30.341667,9.806575
261,IBSS,5,5,5,0,25.778265,-29.743509,9.806635
262,IBSS,5,6,5,0,25.838484,-31.654041,9.806612
263,IBSS,5,7,5,0,27.261873,-32.024117,9.80663
264,IBSS,5,8,5,0,29.134336,-34.999653,9.806551
265,IBSS,5,9,5,0,31.381336,-38.460579,9.806577
266,IBSS,5,10,5,0,31.1563,-42.476048,9.806634
267,IBSS,5,11,5,0,31.266718,-42.021271,9.806613
268,IBSS,5,12,5,0,31.282528,-41.058231,9.80665
269,IBSS,5,13,5,0,31.638062,-40.004997,9.806627
270,IBSS,5,14,5,0,29.898197,-37.929115,9.806553
271,IBSS,5,15,5,0,29.212093,-36.226517,9.806622
272,IBSS,5,16,5,0,30.24803,-32.959518,9.806611
273,IBSS,5,17,5,0,30.972986,-30.927435,9.806644
274,IBSS,5,18,5,0,31.823284,-27.993881,9.806551
275,IBSS,5,19,5,0,33.892639,-25.568159,9.806558
276,IBSS,5,20,5,0,36.681763,-25.282211,9.806569
277,IBSS,5,21,5,0,39.337124,-26.449263,9.806575
278,IBSS,5,22,5,0,39.569504,-28.448015,9.806566
279,IBSS,5,23,5,0,42.388847,-28.845543,9.806606
280,IBSS,5,24,5,0,41.965084,-29.883213,9.806551
281,IBSS,5,25,5,0,40.335392,-28.285898,9.806566
282,IBSS,5,26,5,0,37.915035,-26.260208,9.806555
283,IBSS,5,27,5,0,34.556171,-23.491686,9.806572
284,IBSS,5,28,5,0,31.788927,-23.062571,9.806638
285,IBSS,5,29,5,0,31.952101,-24.318222,9.806581
286,IBSS,5,30,5,0,32.065228,-25.953402,9.80655
287,IBSS,5,31,5,0,30.523239,-26.380768,9.806607
288,IBSS,5,32,5,0,31.514074,-28.207859,9.806577
289,IBSS,5,33,5,0,32.242104,-28.886992,9.806575
290,IBSS,5,34,5,0,33.56284,-30.905039,9.806601
291,IBSS,5,35,5,0,33.360252,-30.733603,9.806619
292,IBSS,5,36,5,0,33.967793,-33.887123,9.806569
293,IBSS,5,37,5,0,33.215343,-35.681244,9.806631
294,IBSS,5,38,5,0,31.816751,-37.202503,9.806572
295,IBSS,5,39,5,-0.000001,28.052347,-37.711842,9.806607
296,IBSS,5,40,5,0,24.686043,-38.037781,9.80663
297,IBSS,5,41,5,0,24.071955,-36.698334,9.806593
298,IBSS,5,42,5,0,26.159115,-35.748005,9.806576
299,IBSS,5,43,5,0,27.443949,-35.58213,9.806632
300,IBSS,5,44,5,0,28.529516,-35.259254,9.806588
301,IBSS,5,45,5,-0.000001,29.586662,-34.95863,9.806584
302,IBSS,5,46,5,0,31.443941,-35.554111,9.806638
303,IBSS,5,47,5,0,32.180607,-35.462162,9.806615
304,IBSS,5,48,5,0,33.880337,-38.210838,9.806556
305,IBSS,5,49,5,-0.000001,32.229248,-39.361092,9.80656
306,IBSS,5,50,5,0,30.523701,-38.702381,9.80657
307,IBSS,5,0,6,-0.000001,29.164804,-33.29895,9.806589
308,IBSS,5,1,6,-0.000001,35.517925,-31.045513,9.806597
309,IBSS,5,2,6,0.000001,83.557243,-17.740898,9.80658
310,IBSS,5,3,6,0,22.393328,-25.520973,9.806552
311,IBSS,5,4,6,0,23.56872,-32.124146,9.806549
312,IBSS,5,5,6,0,27.065601,-33.215328,9.806587
313,IBSS,5,6,6,0,26.295113,-34.058037,9.806571
314,IBSS,5,7,6,0,27.018204,-36.143715,9.806597
315,IBSS,5,8,6,0.000001,30.382914,-39.135132,9.806569
316,IBSS,5,9,6,0,31.761745,-43.535637,9.806602
317,IBSS,5,10,6,0,29.74087,-47.400883,9.806642
318,IBSS,5,11,6,0.000001,29.850559,-46.399956,9.806608
319,IBSS,5,12,6,0,29.965652,-43.82909,9.806605
320,IBSS,5,13,6,0,35.67046,-43.330276,9.806555
321,IBSS,5,14,6,0,40.784584,-41.516613,9.806626
322,IBSS,5,15,6,-0.000002,18.252926,-41.017982,9.80659
323,IBSS,5,16,6,0,21.931164,-31.381359,9.806632
324,IBSS,5,17,6,0,24.130047,-29.119812,9.806614
325,IBSS,5,18,6,0,25.194511,-23.891155,9.806638
326,IBSS,5,19,6,0,28.226849,-22.168808,9.806584
327,IBSS,5,20,6,0,33.022659,-21.699839,9.806572
328,IBSS,5,21,6,0,34.944653,-26.853336,9.806576
329,IBSS,5,22,6,0,37.809315,-26.209612,9.806555
330,IBSS,5,23,6,0,39.629089,-26.466816,9.806565
331,IBSS,5,24,6,0,42.147911,-29.713787,9.806544
332,IBSS,5,25,6,-0.000001,40.070644,-29.242252,9.806596
